path,tick,conductance
0,0,0.5
0,1,0.5026502105318471
0,2,0.5247875802608831
0,3,0.5403209003706808
0,4,0.5568282160563045
0,5,0.5709379017717251
0,6,0.5973228835520478
0,7,0.6257862992525851
0,8,0.6600397557575388
0,9,0.6867085133517454
0,10,0.6967709171570005
0,11,0.7100740963633757
0,12,0.7204703246212387
0,13,0.7401029828851315
0,14,0.7476128555910457
0,15,0.7367095861117064
0,16,0.7488174018046958
0,17,0.7688124325896396
0,18,0.7801218048005768
0,19,0.8014515213835505
0,20,0.8146688528427833
0,21,0.8068210865515749
0,22,0.8089000032165838
0,23,0.8091127611563808
0,24,0.8206428781392371
0,25,0.8330830274880526
0,26,0.8374414660331728
0,27,0.8367776092961328
0,28,0.850411812070591
0,29,0.8509189946518938
0,30,0.8658331187844921
0,31,0.87163300065256
0,32,0.8909810462707974
0,33,0.8979094235742715
0,34,0.908670286301258
0,35,0.9206245799906718
0,36,0.9426553243547063
0,37,0.9612454551075931
0,38,0.9703956628195852
0,39,0.9715863414985277
0,40,0.9802383464519802
0,41,0.9934944632619864
0,42,0.9966488714423383
0,43,1.0
0,44,0.9949198783448278
0,45,0.9957580570559703
0,46,0.9821106749282327
0,47,0.98957057808699
0,48,0.9805533052832219
0,49,0.9771436963814168
0,50,0.9625872101770108
0,51,0.9775857183805455
0,52,0.9838319639212513
0,53,0.9749141999921047
0,54,0.9725074718535929
0,55,0.9636124790163966
0,56,0.9590852743920192
0,57,0.9676156565275106
0,58,0.9512449437548042
0,59,0.9397403641386004
0,60,0.9367599949032126
0,61,0.9509553525549361
0,62,0.9451472331532377
0,63,0.9484415309549273
0,64,0.9309905589497434
0,65,0.9240249538190688
0,66,0.938280768097418
0,67,0.9389320928919566
0,68,0.9335464778207393
0,69,0.9504942283733535
0,70,0.935633957484899
0,71,0.9462336359874777
0,72,0.9355268939585368
0,73,0.9211213633951473
0,74,0.9340077792520449
0,75,0.9310709621859442
0,76,0.93580567405868
0,77,0.9525596559603162
0,78,0.9533392531576668
0,79,0.9516489119130217
0,80,0.9355300400756617
0,81,0.9401041281270837
0,82,0.9475323758169886
0,83,0.9531557009581395
0,84,0.9403556561797043
0,85,0.9190756404323394
0,86,0.9247213052336888
0,87,0.9357976990725712
0,88,0.9409844111813933
0,89,0.9456226831174482
0,90,0.9637926568205518
0,91,0.9578236620193261
0,92,0.9639963401407787
0,93,0.9590010540756869
0,94,0.9506581075088604
0,95,0.9592836488538418
0,96,0.9487831841049407
0,97,0.946395250303627
0,98,0.9281755643862122
0,99,0.9245832137644059
1,0,0.5
1,1,0.5288100165625864
1,2,0.5552680995871616
1,3,0.5873457199682814
1,4,0.6033931473497424
1,5,0.619683794325701
1,6,0.6337651349248986
1,7,0.6413245466129991
1,8,0.647995415522948
1,9,0.6487310468704267
1,10,0.671055301873112
1,11,0.6889590853289488
1,12,0.6884582989209692
1,13,0.7064127874677896
1,14,0.7283256985503203
1,15,0.7392217727393352
1,16,0.7409476031541543
1,17,0.7500071615644406
1,18,0.7716068812342974
1,19,0.7800056096252093
1,20,0.7976351517096151
1,21,0.7895126233207403
1,22,0.8092261107970788
1,23,0.8129210622477008
1,24,0.8246569638056089
1,25,0.8327582504439397
1,26,0.8389609894309938
1,27,0.8489931967558406
1,28,0.863297556646468
1,29,0.8665211408178091
1,30,0.8799568313932622
1,31,0.8921267515256937
1,32,0.8780843195927821
1,33,0.8695771923688719
1,34,0.8739860374168908
1,35,0.8699890959177529
1,36,0.8913075172536976
1,37,0.8838119269172335
1,38,0.8892201805643323
1,39,0.9018872341165568
1,40,0.9181966607357686
1,41,0.9027409131421572
1,42,0.8948029266040312
1,43,0.9030829375457862
1,44,0.8916929840947886
1,45,0.8987115536892607
1,46,0.9211011435614803
1,47,0.9347694165743826
1,48,0.936997401593695
1,49,0.9463850028691939
1,50,0.9442941111867146
1,51,0.9346660488039132
1,52,0.9236549413999366
1,53,0.9135236041122891
1,54,0.9093233712974548
1,55,0.9145791709207647
1,56,0.9199121593952444
1,57,0.9086007910795276
1,58,0.9056178529931659
1,59,0.9134887203988242
1,60,0.919344976878661
1,61,0.9316889415914171
1,62,0.9369495444981191
1,63,0.9352049632652628
1,64,0.9518768387170201
1,65,0.9464620224669044
1,66,0.9362714949224041
1,67,0.9285696082406125
1,68,0.9205940251953828
1,69,0.9259321103635888
1,70,0.9343039331606556
1,71,0.9382499814248517
1,72,0.9435801428054373
1,73,0.9543659907167066
1,74,0.9450913819088971
1,75,0.9386563184588946
1,76,0.9405207223417198
1,77,0.9288355643629784
1,78,0.9236761247858877
1,79,0.9102290496398014
1,80,0.9075377246225466
1,81,0.8990020603758615
1,82,0.8926670962197474
1,83,0.9039978721789189
1,84,0.8996892300417964
1,85,0.8920777966713824
1,86,0.9150695241592841
1,87,0.9308455500233771
1,88,0.9119967666964601
1,89,0.9181979960068885
1,90,0.9173041114814283
1,91,0.9029341227584677
1,92,0.9005936205012777
1,93,0.899052963273916
1,94,0.8962665334610387
