protocol,seed_offset,lifetime_first_death_s
PZ-2021,15,1297.0863227925308
PZ-2021,16,1351.909598107285
PZ-2021,17,1392.4898599365622
PZ-2021,18,1326.310489838291
PZ-2021,19,1327.8221677058768
PZ-2021,20,1318.1110800101537
PZ-2021,21,1243.1635225632187
PZ-2021,22,1336.962622373648
PZ-2021,23,1302.591897370153
PZ-2021,24,1268.6632645928937
PZ-2021,25,1373.0489743273993
PZ-2021,26,1318.675528597343
PZ-2021,27,1327.5230703735633
PZ-2021,28,1248.922533067099
PZ-2021,29,1293.5320836229714
DARE-IoT,0,1336.931036086405
DARE-IoT,1,1374.1027464340766
DARE-IoT,2,1362.839603554979
DARE-IoT,3,1340.1968352617223
DARE-IoT,4,1367.3532386861932
DARE-IoT,5,1394.951731687038
DARE-IoT,6,1369.6782403657185
DARE-IoT,7,1309.7945321784275
DARE-IoT,8,1321.0159638509772
DARE-IoT,9,1312.9807509906705
DARE-IoT,10,1312.8026359404944
DARE-IoT,11,1417.4306477615144
DARE-IoT,12,1365.6545595384864
DARE-IoT,13,1284.6115109094515
DARE-IoT,14,1354.8227999538997
DARE-IoT,15,1354.1440325954259
DARE-IoT,16,1342.405658159865
DARE-IoT,17,1348.8992264062936
DARE-IoT,18,1338.848658213834
DARE-IoT,19,1352.0872661019935
DARE-IoT,20,1344.0656678417156
DARE-IoT,21,1296.9264604040548
DARE-IoT,22,1394.304982477162
DARE-IoT,23,1360.6772065614946
DARE-IoT,24,1303.1884027022338
DARE-IoT,25,1331.2189385990698
DARE-IoT,26,1368.7049400660653
DARE-IoT,27,1372.6201719921885
DARE-IoT,28,1376.7763169813634
DARE-IoT,29,1384.8084608831066
PSO-Energy,0,1592.9674670008774
PSO-Energy,1,1553.8444159416229
PSO-Energy,2,1557.5550911722764
PSO-Energy,3,1578.0029215136112
PSO-Energy,4,1580.7335087499998
PSO-Energy,5,1587.6290415294536
PSO-Energy,6,1598.4098678332603
PSO-Energy,7,1571.719742483916
PSO-Energy,8,1589.419832169308
PSO-Energy,9,1566.0091869250223
PSO-Energy,10,1612.38070488575
PSO-Energy,11,1586.2664284652583
PSO-Energy,12,1581.9729829210878
PSO-Energy,13,1603.057482733179
PSO-Energy,14,1665.5414265587146
PSO-Energy,15,1662.196898001673
PSO-Energy,16,1569.9067171977695
PSO-Energy,17,1584.2070077865415
PSO-Energy,18,1607.7887359670688
PSO-Energy,19,1592.9528010201852
PSO-Energy,20,1649.5001565019918
PSO-Energy,21,1534.2288831182764
PSO-Energy,22,1557.010143352746
PSO-Energy,23,1586.5556536410625
PSO-Energy,24,1678.7429733174552
PSO-Energy,25,1633.2808533649127
PSO-Energy,26,1578.3571748191262
PSO-Energy,27,1598.6085079987981
PSO-Energy,28,1575.368462289884
PSO-Energy,29,1619.4587116573118
GWO-WBAN,0,1389.6019589884193
GWO-WBAN,1,1427.7700060104723
GWO-WBAN,2,1395.8313098001145
GWO-WBAN,3,1393.2132677653406
GWO-WBAN,4,1418.7122837926638
GWO-WBAN,5,1380.9622210660941
GWO-WBAN,6,1376.6913383106623
GWO-WBAN,7,1404.2316076930035
GWO-WBAN,8,1438.0997177332322
GWO-WBAN,9,1366.4536507707542
GWO-WBAN,10,1431.715825831398
GWO-WBAN,11,1392.0802054785233
GWO-WBAN,12,1420.2328328782344
GWO-WBAN,13,1402.376718827238
GWO-WBAN,14,1443.499261385305
GWO-WBAN,15,1422.5638461441906
GWO-WBAN,16,1384.3571005596991
GWO-WBAN,17,1377.4463831336566
GWO-WBAN,18,1374.066557853489
GWO-WBAN,19,1409.400380699482
GWO-WBAN,20,1403.5658021093277
GWO-WBAN,21,1364.5208908054558
GWO-WBAN,22,1372.46933381211
GWO-WBAN,23,1444.6828125772577
GWO-WBAN,24,1457.8325293661824
GWO-WBAN,25,1431.9734343058385
