protocol,velocity_mps,seed_offset,pdr
PhysaRoute,2.0,1,0.9464980655753152
PhysaRoute,2.0,2,0.9310858450371311
PhysaRoute,2.0,3,0.9364019482460891
PhysaRoute,2.0,4,0.954548854407693
PhysaRoute,2.0,5,0.9576003709940476
PhysaRoute,2.0,6,0.9488885517672153
PhysaRoute,2.0,7,0.9440864311657281
PhysaRoute,2.0,8,0.9526690971188467
PhysaRoute,2.0,9,0.9539610967133025
PhysaRoute,2.0,10,0.9552644893245661
PhysaRoute,2.0,11,0.9578092609431883
PhysaRoute,2.0,12,0.9485922824585133
PhysaRoute,2.0,13,0.942863548135095
PhysaRoute,2.0,14,0.9481587853395702
PhysaRoute,2.0,15,0.9593090445330317
PhysaRoute,2.0,16,0.9455891340472856
PhysaRoute,2.0,17,0.9492798663893738
PhysaRoute,2.0,18,0.9415826630179559
PhysaRoute,2.0,19,0.961954405198638
PhysaRoute,2.0,20,0.9588651424058245
PhysaRoute,2.0,21,0.9614622617604751
PhysaRoute,2.0,22,0.9530408669126053
PhysaRoute,2.0,23,0.9373831966383972
PhysaRoute,2.0,24,0.9546021186236548
PhysaRoute,2.0,25,0.9585008828080902
PhysaRoute,2.0,26,0.9455853333773889
PhysaRoute,2.0,27,0.9567518722730394
PhysaRoute,2.0,28,0.9529426718488923
PhysaRoute,2.0,29,0.952495714550246
PhysaRoute,2.5,0,0.9331044391386525
PhysaRoute,2.5,1,0.9241711639034871
PhysaRoute,2.5,2,0.949090029668935
PhysaRoute,2.5,3,0.9395350004218365
PhysaRoute,2.5,4,0.9441466016049392
PhysaRoute,2.5,5,0.9498570624806488
PhysaRoute,2.5,6,0.9341394634662762
PhysaRoute,2.5,7,0.9430775217022604
PhysaRoute,2.5,8,0.9343935790150995
PhysaRoute,2.5,9,0.9502716628439167
PhysaRoute,2.5,10,0.9505603973755409
PhysaRoute,2.5,11,0.9272123733561459
PhysaRoute,2.5,12,0.9375167654479741
PhysaRoute,2.5,13,0.9289178986864621
PhysaRoute,2.5,14,0.940090642103758
PhysaRoute,2.5,15,0.9388941247958181
PhysaRoute,2.5,16,0.9394489080813476
PhysaRoute,2.5,17,0.9529792975162759
PhysaRoute,2.5,18,0.933873713920769
PhysaRoute,2.5,19,0.9311680500938663
PhysaRoute,2.5,20,0.9324934219888111
PhysaRoute,2.5,21,0.929647879965362
PhysaRoute,2.5,22,0.9310396450679301
PhysaRoute,2.5,23,0.943833424018906
PhysaRoute,2.5,24,0.9430547169155902
PhysaRoute,2.5,25,0.9441047374324674
PhysaRoute,2.5,26,0.9404579158384483
PhysaRoute,2.5,27,0.9512279769260795
PhysaRoute,2.5,28,0.9576078040111973
PhysaRoute,2.5,29,0.9393709757996992
PhysaRoute,3.0,0,0.9347522723650304
PhysaRoute,3.0,1,0.9404087569317834
PhysaRoute,3.0,2,0.937577734685728
PhysaRoute,3.0,3,0.9353696481535351
PhysaRoute,3.0,4,0.9296999811162251
PhysaRoute,3.0,5,0.9143747577089465
PhysaRoute,3.0,6,0.9554247047667268
PhysaRoute,3.0,7,0.9306013418905824
PhysaRoute,3.0,8,0.9423528020693127
PhysaRoute,3.0,9,0.9108664410599783
PhysaRoute,3.0,10,0.9297142205126891
PhysaRoute,3.0,11,0.9445958752563676
PhysaRoute,3.0,12,0.9353923155195848
PhysaRoute,3.0,13,0.9260714328482131
PhysaRoute,3.0,14,0.9225905751594808
PhysaRoute,3.0,15,0.92526502755372
PhysaRoute,3.0,16,0.9415912775728351
PhysaRoute,3.0,17,0.9312658678217993
PhysaRoute,3.0,18,0.9310448409803177
PhysaRoute,3.0,19,0.9469885775546699
PhysaRoute,3.0,20,0.9294192889228785
PhysaRoute,3.0,21,0.9464182228133277
PhysaRoute,3.0,22,0.9219869639849939
PhysaRoute,3.0,23,0.9370760609737818
PhysaRoute,3.0,24,0.9361302025581592
PhysaRoute,3.0,25,0.943629599553677
PhysaRoute,3.0,26,0.9276225128051335
PhysaRoute,3.0,27,0.9221836429803456
PhysaRoute,3.0,28,0.9347415625097043
PhysaRoute,3.0,29,0.9327781930957527
RL-WBAN,0.0,0,1.0
RL-WBAN,0.0,1,0.9558629600738971
RL-WBAN,0.0,2,0.9662957580361753
RL-WBAN,0.0,3,0.9666728496698176
RL-WBAN,0.0,4,0.9725901731011206
RL-WBAN,0.0,5,0.9638293215252961
RL-WBAN,0.0,6,0.9665157385748819
RL-WBAN,0.0,7,0.981427474546376
RL-WBAN,0.0,8,0.9714626080223094
RL-WBAN,0.0,9,0.9587194888926795
RL-WBAN,0.0,10,0.9845560365003589
RL-WBAN,0.0,11,0.9628744862681847
RL-WBAN,0.0,12,0.9695845592550701
RL-WBAN,0.0,13,0.9764144079769418
RL-WBAN,0.0,14,0.9616583757529066
RL-WBAN,0.0,15,0.964717380370108
