velocity_mps,snr_dB,cdf
0.0,-10.0,0.0
0.0,-9.798994974874372,0.0
0.0,-9.597989949748744,0.0
0.0,-9.396984924623116,0.0
0.0,-9.195979899497488,0.0
0.0,-8.99497487437186,0.0
0.0,-8.793969849246231,0.0
0.0,-8.592964824120603,0.0
0.0,-8.391959798994975,0.0
0.0,-8.190954773869347,0.0
0.0,-7.989949748743719,0.0
0.0,-7.788944723618091,0.0
0.0,-7.5879396984924625,0.0
0.0,-7.386934673366834,0.0
0.0,-7.185929648241206,0.0
0.0,-6.984924623115578,0.0
0.0,-6.78391959798995,0.0
0.0,-6.582914572864322,0.0
0.0,-6.381909547738694,0.0
0.0,-6.180904522613066,0.0
0.0,-5.979899497487437,0.0
0.0,-5.7788944723618085,0.0
0.0,-5.57788944723618,0.0
0.0,-5.376884422110552,0.0
0.0,-5.175879396984924,0.0
0.0,-4.974874371859296,0.0
0.0,-4.773869346733668,0.0
0.0,-4.57286432160804,0.0
0.0,-4.371859296482412,0.0
0.0,-4.1708542713567835,0.0
0.0,-3.9698492462311554,0.0
0.0,-3.7688442211055273,0.0
0.0,-3.567839195979899,0.0
0.0,-3.366834170854271,0.0
0.0,-3.165829145728643,0.0
0.0,-2.964824120603015,0.0
0.0,-2.7638190954773867,0.0
0.0,-2.5628140703517586,0.0
0.0,-2.3618090452261304,0.0
0.0,-2.1608040201005023,0.0
0.0,-1.9597989949748733,0.0
0.0,-1.7587939698492452,0.0
0.0,-1.557788944723617,0.0
0.0,-1.356783919597989,0.0
0.0,-1.1557788944723608,0.0
0.0,-0.9547738693467327,0.0
0.0,-0.7537688442211046,0.0
0.0,-0.5527638190954764,0.0
0.0,-0.3517587939698483,0.0
0.0,-0.1507537688442202,0.0
0.0,0.05025125628140792,0.0
0.0,0.25125628140703604,0.0
0.0,0.45226130653266416,0.0
0.0,0.6532663316582923,0.0
0.0,0.8542713567839204,0.0
0.0,1.0552763819095485,0.0
0.0,1.2562814070351767,0.0
0.0,1.4572864321608048,0.0
0.0,1.658291457286433,0.0
0.0,1.859296482412061,0.0
0.0,2.060301507537689,0.0
0.0,2.2613065326633173,0.0
0.0,2.4623115577889454,0.0
0.0,2.6633165829145735,0.0
0.0,2.8643216080402016,0.0
0.0,3.0653266331658298,0.0
0.0,3.266331658291458,0.0
0.0,3.467336683417086,0.0
0.0,3.668341708542714,0.0
0.0,3.8693467336683423,0.0
0.0,4.07035175879397,0.0
0.0,4.2713567839195985,0.0
