baseline,t_stat,raw_p,cohens_d,mean_diff,ci95_lo,ci95_hi,holm_p
RL-WBAN,9.084179688816794,5.566961229048969e-10,1.6585367105408146,0.022137380387754757,0.017361025554812132,0.02691373522069738,5.566961229048969e-10
PZ-2021,12.291717184351434,5.043999476353647e-13,2.2441502573041405,0.03507556459622514,0.02948252128278767,0.04066860790966262,1.0087998952707294e-12
DARE-IoT,14.806053610078818,4.6967612064810264e-15,2.7032031831017482,0.038750256754041104,0.03362056418111814,0.04387994932696407,1.4090283619443079e-14
PSO-Energy,22.318861556022583,8.230348671711425e-20,4.0748479770300685,0.05092259580177944,0.04645067022793425,0.05539452137562464,3.29213946868457e-19
GWO-WBAN,36.85375450206887,6.531978666248833e-26,6.728544222586114,0.07620280283431259,0.07215009516386701,0.08025551050475817,3.9191871997492997e-25
ACO-WBAN,26.89237451471396,4.708846756514272e-22,4.909853381891148,0.07925992968760426,0.07348321918914284,0.08503664018606567,2.354423378257136e-21
M-ATTEMPT,38.64188388985094,1.6976729825405186e-26,7.055010489876498,0.11165412135839055,0.1059907826224672,0.1173174600943139,1.188371087778363e-25
AODV,48.08100968458307,3.3003671411435926e-29,8.778351196804659,0.15871903519087857,0.15224892753268038,0.16518914284907676,2.640293712914874e-28
